case_id,description,solution
0,connection icon icon dear setup icon icon engineers let details needed thanks lead,Hardware
1,work experience user work experience user hi work experience student coming appreciate duration thank,Access
2,requesting meeting requesting meeting hi help follow equipments cable pc cord plug,Hardware
3,reset passwords external accounts expire days hi ask help update passwords colleagues thank pm expire days importance high hi received expiration kindly help prolongation best regards pm expire days importance high dear expire days order change follow steps prerequisites disable device credentials close active connected cable machine note follow steps detailed press ctrl alt delete pops change item enter format enter enter newly chosen enter submit displaying changed os machine browse enter format enter gear icon tight browser window enter enter newly chosen enter save connected note complete resources granted connected cable browse tick want change logging enter format enter log enter enter newly chosen enter change clients suppliers expire touch person communicate encounter issues hesitate accessing,Access
4,mail verification warning hi got attached addresses best regards monitoring analyst verification warning,Miscellaneous
5,mail dear looks blacklisted receiving mails anymore sample attached thanks kind regards senior engineer,Miscellaneous
6,prod servers tunneling prod tunneling va la tunneling la host si la si host host cards port bytes bytes seq bytes seq statistics packets transmitted received packet loss avg bytes bytes seq bytes seq tuesday pm acre tunneling si pm acre tunneling extended object host extended host extended object host range extended host range administrator sector pm acre tunneling va la si la tunneling design lead ext friday pm tunneling va extended object host extended host administrator sector pm tunneling va la tunneling users pinging bytes bytes bytes bytes bytes design lead ext care pot partial strict si pot ale care va la contains proprietary information legally privileged unauthorized dissemination prohibited intended recipient views addressing transmission error misdirected notify author replying intended recipient disclose distribute copy print rely,Hardware
7,access request dear modules report report cost thank regards,HR Support
8,reset passwords client passwords client dear passwords thank,Access
9,direct reports missing time action reports dear way help close maternity leave complete submit left technically left client work rd submit delete period days public holidays possible add thanks action reports dear established processes required submit weekly basis friday past submitted receiving reports haven followed process help cascade accordingly gets possible breakdown reports note refers left maternity absence leave update person record person directly submit country date total days,HR Support
10,laptop connected request rebuild connected rebuild hi provide order debug sip trunk gateway wireless wired connected regards,Hardware
11,device recovery report printer alert duplex unit set device recovery report printer duplex unit printer details detected tray tray copier details detected tray scanner ready details model device comment host printer print file printer zone computer share device printer printer notified,Miscellaneous
12,new starter hello date,HR Support
13,visual studio license visual studio license hello developer visual studio license thank best regards developer,Access
14,hello movement left available device kind device denmark copenhagen denmark source quotation shipping lead,Purchase
15,access secondary secondary hi provide secondary ledger users provide existing roles assigned users prod test create thank kind regards analyst,Access
16,list sent copy copy hi receive copy behavior expect receive thanks developer,Purchase
17,new purchase po purchase po dear purchased received items lite updated include device user link add allocation device thanks log retrieve old device receive item consideration mandatory receipts section order receive item ordered video link make return old device accessories left receive receive old device user kind regards administrator,Purchase
18,invitation cloud strategy workshop february manchester invitation strategy workshop february manchester workshop forward colleague results campaign workshop reminder content workshop reminder ca cs dad ca trouble viewing view results campaign workshop reminder content workshop reminder cs dad ca assets images azure cs dad ca azure join cs dad ca manchester discuss journey unleash benefits powered azure workshop control optimise strategy tickets cs dad ca february discussing best working opportunities digital tools embrace perfect environment wednesday february sir busby way manchester information control optimise strategy tickets cs dad ca note places join workshop manchester february control optimise strategy tickets cs dad ca make february workshop march street campus birmingham join workshop birmingham control optimise strategy tickets cs dad ca assets images footer cs dad ca action campaign workshop reminder content workshop reminder ca cs dad ca road bb sr,Hardware
19,change sales owner contract change owner contract hello log thanks best regards senior engineer pm contract id pm pm la ca la si si pm pm merci pm owner pm yep pm,Miscellaneous
20,notification wireless devices upgrade cr medium wireless devices upgrade cr medium hi announce users window wireless best regards senior engineer cr medium hello summary software upgrade release approved wait completed starting kind regards ref msg,Administrative rights
21,direct reports list amended oracle reports amended hello best regards reports amended hi guys help match correctly reports attached right attached thank,HR Support
22,adding new printer xerox th floor printer floor hi tried add printer floor printers add manually help required steps thanks director central,HR Support
23,badge access removed badge removed dear badge working anymore best regards,Access
24,hello make injector device device pm hello movement left available device kind device denmark copenhagen denmark source quotation shipping lead,Purchase
25,new purchase po purchase po dear purchased log allocation item consideration mandatory receipts section order receive item ordered video link receipt number item needed processed thank kind regards administrator,Purchase
26,check user accessibility user accessibility hello log assign best regards senior engineer pm pm pm pm pm super,Access
27,annual leave annual leave hello help absence record today hello thanks great best regards analyst pm annual leave hi help registering annual leave today urgent personal matters allow ongoing absence records advise,HR Support
28,change project manager role oracle change role hello dear change pm role starting kind regards discipline lead,Miscellaneous
29,does laptop hello tomorrow trip senior developer mobile,Hardware
30,port opening port opening hello port machine packages provided subcontractors add tunneling azure machines thanks design lead ext,Hardware
31,network access hello received workstation granted ad help thanks,Hardware
32,new purchase po purchase po dear purchased log allocation item consideration mandatory receipts section order receive item ordered video link receipt number item needed processed thank kind regards administrator,Purchase
33,access card card va se,Access
34,undelivered mail returned sender undelivered returned hi getting undelivered messages instead actual complete messages issue client regards pm undelivered returned host sorry inform attached assistance include problem report delete text attached returned host cluster said sorry blacklisted refer troubleshooting information rcpt command,Hardware
35,mailbox mailbox hi mailbox kind thanks regards senior infrastructure engineer infrastructure upcoming holiday id,Storage
36,new purchase po purchase po dear purchased log allocation log retrieve old device receive item consideration mandatory receipts section order make receipt item ordered video link kind regards administrator,Purchase
37,opportunity pas known pipeline opportunity known pipeline hi import bellow opportunity known pipeline opportunity id thanks officer,Internal Project
38,shared folder access shared folder dear assist creating shared folder granting folder thanks kind regards engineer,Storage
39,submit time cards approval action submit cards hi getting reminders regarding complete left left october kind update records code days kindly update record thanks head action submit cards dear receiving cards haven submitted note enter make submit corrective actions submitted card gets rejected breakdown submitted cards submit accordingly possible country submitted cards card status entered entered total submitted cards submitted cards statuses explained error usually happens log calendar view period days delete causes timecard switch error fix add deleted delete entire timecard right hand menu recreate rejected card rejected approvers card entries accordingly resubmit entered status timecard days entire timecard entered saved cards status passed entered validation gone submission step card issues resolve wait corresponding resolutions,HR Support
40,submit time cards approval notification action submit cards hi queried alerts told ignore transition resolved arriving believe date formally moved refer timecards old continue ignore alerts switched think queried nearly months ago alerts come cheers editorial consultant action submit cards dear receiving cards haven submitted note enter make submit corrective actions submitted card gets rejected breakdown submitted cards submit accordingly possible country submitted cards card status entered entered entered entered total submitted cards submitted cards statuses explained error usually happens log calendar view period days delete causes timecard switch error fix add deleted delete entire timecard right hand menu recreate rejected card rejected approvers card entries accordingly resubmit entered status timecard days entire timecard entered saved cards status passed entered validation gone submission step card issues resolve wait corresponding resolutions,HR Support
41,new purchase po purchase po dear purchased matte display log allocation receive item consideration mandatory receipts section order make receipt item ordered video link kind regards administrator,Purchase
42,need new hi guys details hosted building hyper infrastructure location mandatory client accept machine operating newer purposes cpu disk worry partitioning handle needs accessible networks needs ports user root rights client machine operating newer purposes cpu disk needs accessible networks especially user rights client thank engineer,Hardware
43,new starter account republic macedonia kale building starter form induction hi assist completion attached return form thank officer,HR Support
44,clone self service dashboard clone self dashboard hello writing ask help cloning self widget report snow profile profile reason requesting uses reports monitor tickets logged self best report available consider needs added member profile sd specialists liaise note snow kind regards engineer mobile,Miscellaneous
45,wants access requesting hardware equipment wants requesting hardware equipment monitor accept decline requests,Storage
46,need new groups testing crazy groups testing add users needed owner groups users members port test sitting dancing hammer muffin crazy thank,Miscellaneous
47,milestone licensing service milestone licensing agreed assist log queue thank milestone licensing hi sensible idea generally problem restricted given addresses say vendor sites licensing makes device updates easier cheers milestone licensing hi milestone needs license revalidated camera modified far exported license file supplier validates sends file import objects communicate presuming validation runs documentation specify,Access
48,remove hi sector owners right added sector owners thank kind regards,Miscellaneous
49,assign new access card lost card hello va ii alt card se la,Access
50,new purchase po purchase po dear purchased received items date february mobile subscription updated include device user link add allocation device thanks kind regards administrator,Purchase
51,leaver service leaver form leave date location hello leaver form filled leaving date location ad forwarder leaver mailbox did leaver roaming profile did leaver ad rights personal mailbox approver did leaver rights inventory storage required information work location details floor seat did leaver did leaver token did leaver mobile phone subscription did leaver commercial accounts leaver detected changed automatic approver backup pm purchase coordinator approver approver approver approver discipline responsible did leaver did leaver did leaver did leaver did leaver number did leaver extension leaving details unplanned comments needed tickets automatically logged best regards note mailbox receive messages,HR Support
52,monitoring shared mailbox monitoring shared mailbox hello creation shared mailbox named monitoring members let details required lead,Storage
53,new purchase po purchase po dear purchased monitor log allocation item consideration mandatory receipts section order receive item ordered video link receipt number item needed processed thank kind regards administrator,Purchase
54,new delivery hello received po advise log kind regards engineer ext,Purchase
55,add network hello add thank,Miscellaneous
56,job title job title hi note title treasury ask thanks mobility officer,HR Support
57,password reset hi best regards specialist retention rotterdam tuesday thursday friday hi changed work best regards specialist retention rotterdam tuesday thursday friday information contained communication confidential legally privileged intended solely individual entity addressed authorized receive intended recipient notified disclosure copying taking action relation contents information strictly prohibited unlawful represented liable complete transmission contents timely receipt institutional registered,Access
58,bit bucket account bit bucket hello bit bucket thank,Access
59,new delivery hello received today po black cooler notebook advise log receiving goods thanks technician,Purchase
60,access dear permission link bit bucket accumulations browse thanks tester,HR Support
61,cc expenditure types guide expenditure types guide hi attached latest expenditure types guide kindly share colleagues hand type touch teams thank best regards,Hardware
62,reset time card card hi guys card period thank application engineer,HR Support
63,storage access storage hello storage order setup environment regards engineer mob,Storage
